HDU NAME,FIELD NAME,COLUMN LENGTH,DIMENSION,DIMENSION NAMES,DATA TYPE,BYTES per ELEMENT,ELEMENTS,TOTAL BYTES,UNITS,NOTES,COMMENT,EXTENDED COMMENT
SC_GEOM,SUB_SOLAR_LON,"NZ,NT",1,,float64,8,0,0,deg,,sub-solar longitude in the Saturn fixed frame,
SC_GEOM,SC_ALTITUDE,"NZ,NT",1,,float64,,,,km,,distance between s/c and center of target body,
SC_GEOM,VEL_X_SC_RATE,"NZ,NT",1,,float64,8,0,0,km/s,,x velocity of s/c with respect to planet,
SC_GEOM,VEL_Y_SC_RATE,"NZ,NT",1,,float64,8,0,0,km/s,,y velocity of s/c with respect to planet,
SC_GEOM,VEL_Z_SC_RATE,"NZ,NT",1,,float64,8,0,0,km/s,,z velocity of s/c with respect to planet,
SC_GEOM,VX_SC,"NZ,NT",1,,float64,8,0,0,,,x location of s/c with respect to planet,
SC_GEOM,VY_SC,"NZ,NT",1,,float64,8,0,0,,,y location of s/c with respect to planet,
SC_GEOM,VZ_SC,"NZ,NT",1,,float64,8,0,0,,,z location of s/c with respect to planet,
TARGET_GEOM,TARGET_RA,"NZ,NT",NY,,float64,8,0,0,h,,right ascension of target body relative to s/c,
TARGET_GEOM,TARGET_DEC,"NZ,NT",NY,,float64,8,0,0,deg,,declination of target body relative to s/c,
TARGET_GEOM,TARGET_PHASE_ANGLE,"NZ,NT",NY,,float64,8,0,0,deg,,phase angle at the sub-S/C point,
TARGET_GEOM,TARGET_INCIDENCE_ANGLE,"NZ,NT",NY,,float64,8,0,0,deg,,solar incidence angle at the sub-S/C point,
TARGET_GEOM,TARGET_EMISSION_ANGLE,"NZ,NT",NY,,float64,8,0,0,deg,,emission angle at the sub-S/C point,
TARGET_GEOM,PHI,"NZ,NT",NY,spatial,float64,8,#VALUE!,#VALUE!,deg,,azimuth angle,
TARGET_GEOM,RAM_LAT,"NZ,NT",NY,spatial,float64,8,#VALUE!,#VALUE!,deg,,latitude of leading edge point of target body,
TARGET_GEOM,SATURN_LOCAL_TIME,"NZ,NT",NY,,float64,,0,0,h,,position of Titan along its orbit around Saturn,
FOV_GEOM,RING_PLANE_RADII,"NZ,NT","NY,5","spatial, pix loc",float64,8,0,0,,,distance from Saturn center to the corners and center of each pixel projected in the ring plane,
FOV_GEOM,RA,"NZ,NT","NY,5","spatial, pix loc",float64,8,0,0,deg,J2000,RA for corners and center of each bin,
FOV_GEOM,DEC,"NZ,NT","NY,5","spatial, pix loc",float64,8,0,0,deg,J2000,DEC for corners and center of each pixel,
FOV_GEOM,LAT,"NZ,NT","NY,5","spatial, pix loc",float64,8,0,0,deg,,latitude on target body for corners and center of each pixel,
FOV_GEOM,LON,"NZ,NT","NY,5","spatial, pix loc",float64,8,0,0,deg,,longitude on target body for corners and center of each pixel,
FOV_GEOM,SOLAR_HOUR_ANGLE,"NZ,NT","NY,5","spatial, pix loc",float64,,0,0,h,,solar hour angle for corners and center of each pixel on target body,
FOV_GEOM,LOS,"NZ,NT",NY,spatial,float64,,0,0,km,,distance from s/c to target body,
FOV_GEOM,RAYHEIGHT,"NZ,NT",NY,spatial,float64,,0,0,km,,minimum separation between the look vector and the surface,
FOV_GEOM,EMISSION_ANGLE,"NZ,NT",NY,spatial,float64,,0,0,deg,,angle between line of sight and local surface normal of target body at location of pixel center,
FOV_GEOM,INCIDENCE_ANGLE,"NZ,NT",NY,spatial,float64,,0,0,deg,,angle between Sun and local surface normal of target body at location of pixel center,
FOV_GEOM,PHASE_ANGLE,"NZ,NT",NY,spatial,float64,,0,0,deg,,Sun-line of sight angle,
